customer_id,first_name,last_name,email,phone,age,salary,department,hire_date,is_active
CUST_01076,Eve,Miller,user76@example.com,+1-555-674-1863,57.0,60746,Marketing,2016-09-23,True
CUST_01077,Frank,Davis,user77@example.com,+1-555-842-8408,56.0,79377,Engineering,2022-07-07,True
CUST_01078,Grace,Rodriguez,user78@example.com,+1-555-663-6116,35.0,78404,HR,2019-08-23,True
CUST_01079,Henry,Martinez,user79@example.com,+1-555-195-7019,57.0,84045,Finance,2019-03-12,True
CUST_01080,John,Smith,user80@example.com,,18.0,127888,Sales,2018-06-29,False
CUST_01081,Jane,Johnson,user81@example.com,+1-555-833-8574,28.0,69790,Marketing,2016-04-24,True
CUST_01082,Bob,Williams,user82@example.com,+1-555-330-7892,45.0,137455,Engineering,2019-03-21,True
CUST_01083,Alice,Brown,user83@example.com,+1-555-754-4242,74.0,35600,HR,2020-12-17,True
CUST_01084,Charlie,Jones,user84@example.com,+1-555-640-2059,42.0,124660,Finance,2023-10-17,True
CUST_01085,Diana,Garcia,user85@example.com,+1-555-624-4157,67.0,123179,Sales,2023-05-14,True
CUST_01086,Eve,Miller,user86@example.com,+1-555-895-3693,40.0,70764,Marketing,2022-09-16,True
CUST_01087,Frank,Davis,user87@example.com,+1-555-895-4627,48.0,104543,Engineering,2017-04-22,True
CUST_01088,Grace,Rodriguez,user88@example.com,+1-555-439-6450,47.0,75714,HR,2018-11-02,True
CUST_01089,Henry,Martinez,user89@example.com,+1-555-739-6592,59.0,86835,Finance,2018-05-17,True
CUST_01090,John,Smith,,+1-555-330-8392,52.0,-999,Sales,2017-05-02,False
CUST_01091,Jane,Johnson,user91@example.com,+1-555-484-2306,24.0,132946,Marketing,2019-05-01,True
CUST_01092,Bob,Williams,user92@example.com,+1-555-732-6864,77.0,139616,Engineering,2017-02-07,True
CUST_01093,Alice,Brown,user93@example.com,+1-555-358-8526,33.0,135983,HR,2021-04-16,True
CUST_01094,Charlie,Jones,user94@example.com,+1-555-809-6575,43.0,103744,Finance,2017-04-21,True
CUST_01095,Diana,Garcia,user95@example.com,+1-555-510-5413,65.0,86491,Sales,2025-08-24,True
CUST_01096,Eve,Miller,user96@example.com,+1-555-776-1663,74.0,48589,Marketing,2022-07-29,True
CUST_01097,Frank,Davis,user97@example.com,+1-555-926-2495,69.0,73484,Engineering,2022-04-27,True
CUST_01098,Grace,Rodriguez,user98@example.com,+1-555-332-4763,77.0,112989,HR,2023-07-17,True
CUST_01099,Henry,Martinez,user99@example.com,+1-555-212-2853,66.0,66212,Finance,2023-04-05,True
CUST_01100,Emma,Wilson,user100@example.com,,,73525,Sales,2022-12-11,False
